Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Пахачи;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Певек;2015;21;50;87;110;55;55;58;34;62;45;60;136;773
Пенза;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Бахаревка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Большое Савино);2015;119,05;159,72;165,22;180,2;142,05;147,74;174,51;150,44;156,44;171,25;177,53;208,73;1952,88
Песчанка(остров Колгуев);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Бесовец);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Пески);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петропавловск-Камчатский(Елизово);2015;420,71;532,66;550,5;606,97;546,53;791,9;1235,26;1458,33;1161,51;976,96;727,51;830,15;9838,99
Печора;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2015;39,16;82,23;78,25;84,83;127,33;46,03;57,28;29,06;28,35;33,88;104,97;66,74;778,11
Провидения(Провидения Бухта);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2015;256,3;341,4;329,9;394;328,5;332,44;394,7;362,55;342,52;413,83;354,61;441,37;4292,12
Ростов-на-Дону(Платов);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
