Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Ома;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Омолон;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Омск(Центральный);2014;190;221;254;254;235;228;255;278;260;283;284;341;3083
Омсукчан;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Орел(Южный);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Оренбург(Центральный);2014;81,73;81,69;91,68;92,82;82,55;89,19;99,49;102,01;98,68;105,51;96,8;135,69;1157,84
Орск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Оссора;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Оха;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Охотск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Палана;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Пахачи;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Певек;2014;38;58;48;56;97;50;89;70;50;79;67;120;822
Пенза;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Бахаревка);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Большое Савино);2014;182,69;215,08;213,82;212,33;199;177,24;206,94;188,66;191,59;268,87;199,12;236,48;2491,82
Песчанка(остров Колгуев);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Бесовец);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Пески);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Петропавловск-Камчатский(Елизово);2014;457,52;612,43;581,36;590,16;556,05;904,64;1195,66;1319,93;1162,29;1214,45;997,66;1162,7;10754,85
Печора;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2014;69,78;92,22;93,39;32,67;141,26;184,37;20,71;102,8;71,15;85,01;108,16;135,1;1136,62
Провидения(Провидения Бухта);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2014;335;405,2;423,8;460,6;674,3;759,3;452,7;651,4;484;465;423;479;6013,3
Ростов-на-Дону(Платов);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
